Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,Camera,Price
https://www.gsmarena.com/asus_rog_phone_6d_ultimate-11880.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6d-ultimate.jpg,Asus ROG Phone 6D Ultimate,"2022, October",247,Android 12,512,6.78,1080x2448,16,6000,50,108780
https://www.gsmarena.com/asus_rog_phone_6d-11881.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6d.jpg,Asus ROG Phone 6D,"2022, October",239,Android 12,256,6.78,1080x2448,12,6000,50,72490
https://www.gsmarena.com/asus_rog_phone_6_diablo_immortal_edition-11986.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6-diablo-immortal-edition.jpg,Asus ROG Phone 6 Diablo Immortal Edition,"2022, November",239,Android 12,512,6.78,1080x2448,16,6000,50,101500
https://www.gsmarena.com/asus_rog_phone_6_batman_edition-11882.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6-batman.jpg,Asus ROG Phone 6 Batman Edition,"2022, October",239,Android 12,256,6.78,1080x2448,12,6000,50,72999
https://www.gsmarena.com/asus_zenfone_9-11656.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-9-new.jpg,Asus Zenfone 9,"2022, September",169,Android 12,128,5.9,1080x2400,6,4300,50,64490
https://www.gsmarena.com/asus_rog_phone_6_pro-11648.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone6-pro.jpg,Asus ROG Phone 6 Pro,"2022, July",239,Android 12,512,6.78,1080x2448,18,6000,50,94999
https://www.gsmarena.com/asus_rog_phone_6-11647.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone6.jpg,Asus ROG Phone 6,"2022, July ",239,Android 12,128,6.78,1080x2448,8,6000,50,71999
https://www.gsmarena.com/asus_rog_phone_5s_pro-11053.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5s-pro.jpg,Asus ROG Phone 5s Pro,"2021, August",238,Android 11,512,6.78,1080x2448,18,6000,64,79999
https://www.gsmarena.com/asus_rog_phone_5s-11054.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5s.jpg,Asus ROG Phone 5s,"2021, August ",238,Android 11,128,6.78,1080x2448,8,6000,64,39999
https://www.gsmarena.com/asus_smartphone_for_snapdragon_insiders-11006.php,https://fdn2.gsmarena.com/vv/bigpic/asus-smartphone-for-snapdragon-insiders.jpg,Asus Smartphone for Snapdragon Insiders,"2021, August",210,Android 11,512,6.78,1080x2400,16,4000,64,118400
https://www.gsmarena.com/asus_zenfone_8_flip-10892.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-8-flip.jpg,Asus Zenfone 8 Flip,"2021, May",230,Android 11,128,6.67,1080x2400,8,5000,64,54990
https://www.gsmarena.com/asus_zenfone_8-10893.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-8.jpg,Asus Zenfone 8,"2021, May",169,Android 11,128,5.9,1080x2400,6,4000,64,44190
https://www.gsmarena.com/asus_rog_phone_5_ultimate-10785.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5-ultimate.jpg,Asus ROG Phone 5 Ultimate,"2021, June",238,Android 11,512,6.78,1080x2448,18,6000,64,79999
