Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,Camera,Price
https://www.gsmarena.com/vivo_iqoo_z7i-12171.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z7i.jpg,vivo iQOO Z7i,"2023, March",186,Android 13,128,6.51,720x1600,4,5000,13,12750
https://www.gsmarena.com/vivo_v27_pro-12117.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-v27-pro.jpg,vivo V27 Pro,"2023, March",182,Android 13,128,6.78,1080x2400,8,4600,50,37999
https://www.gsmarena.com/vivo_v27-12119.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-v27.jpg,vivo V27,"2023, March",180,Android 13,128,6.78,1080x2400,8,4600,50,32999
https://www.gsmarena.com/vivo_v27e-12118.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-s16e.jpg,vivo V27e,"2023, March",185,Android 13,128,6.62,1080x2400,8,4600,64,23990
https://www.gsmarena.com/vivo_y56-12125.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y56-5g.jpg,vivo Y56,"2023, February",184,Android 13,128,6.58,1080x2408,4,5000,50,19999
https://www.gsmarena.com/vivo_y100-12121.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y100.jpg,vivo Y100,"2023, February",181,Android 13,128,6.38,1080x2400,8,4500,64,24999
https://www.gsmarena.com/vivo_iqoo_neo_7-12084.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-neo7-se.jpg,vivo iQOO Neo 7,"2023, February",193,Android 13,128,6.78,1080x2400,8,5000,64,29999
https://www.gsmarena.com/vivo_y55s_(2023)-12089.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y55-5g.jpg,vivo Y55s,"2023, January",187,Android 12,128,6.58,1080x2408,4,5000,50,21999
https://www.gsmarena.com/vivo_iqoo_neo7_racing-12050.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-neo7.jpg,vivo iQOO Neo7 Racing,"2023, January",197,Android 13,256,6.78,1080x2400,8,5000,50,33390
https://www.gsmarena.com/vivo_s16_pro-12037.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-s16-pro.jpg,vivo S16 Pro,"2022, December",182,Android 13,256,6.78,1080x2400,8,4600,50,39190
https://www.gsmarena.com/vivo_s16-12038.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-s16.jpg,vivo S16,"2022, December",182,Android 13,128,6.78,1080x2400,8,4600,64,29690
https://www.gsmarena.com/vivo_s16e-12039.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-s16e.jpg,vivo S16e,"2022, December",187.7,Android 11,128,6.62,1080x2400,8,4600,50,24890
https://www.gsmarena.com/vivo_y35_5g-12019.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y35-5g.jpg,vivo Y35 5G,"2022, December",186,Android 13,128,6.51,720x1600,4,5000,13,14190
https://www.gsmarena.com/vivo_iqoo_11_pro-12007.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo11-pro.jpg,vivo iQOO 11 Pro,"2022, December",210.5,Android 13,256,6.78,1440x3200,8,4700,50,59190
https://www.gsmarena.com/vivo_iqoo_11-11960.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo11.jpg,vivo iQOO 11,"2022, December",205,Android 13,128,6.78,1440x3200,8,5000,50,59990
https://www.gsmarena.com/vivo_iqoo_neo7_se-12011.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-neo7-se.jpg,vivo iQOO Neo7 SE,"2022, December",193,Android 13,128,6.78,1080x2400,8,5000,64,24990
