Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,Camera,Price
https://www.gsmarena.com/google_pixel_7_pro-11908.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel7-pro-new.jpg,Google Pixel 7 Pro,"2022, October",212,Android 13,128,6.7,1440x3120,8,5000,50,84999
https://www.gsmarena.com/google_pixel_7-11903.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel7-new.jpg,Google Pixel 7,"2022, October",197,Android 13,128,6.3,1080x2400,8,4355,50,59999
https://www.gsmarena.com/google_pixel_6a-11229.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6a.jpg,Google Pixel 6a,"2022, July ",178,Android 12,128,6.1,1080x2400,6,4410,12.2,43999
https://www.gsmarena.com/google_pixel_6_pro-10918.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6-pro.jpg,Google Pixel 6 Pro,"2021, October",210,Android 12,128,6.7,1440x3120,12,5003,50,49999
https://www.gsmarena.com/google_pixel_6-11037.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6.jpg,Google Pixel 6,"2021, October",207,Android 12,128,6.4,1080x2400,8,4614,50,42499
https://www.gsmarena.com/google_pixel_5a_5g-11059.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5a-5g.jpg,Google Pixel 5a 5G,"2021, August",183,Android 11,128,6.34,1080x2400,6,4680,12.2,30400
https://www.gsmarena.com/google_pixel_5-10386.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5-5g.jpg,Google Pixel 5,"2020, October",151,Android 11,128,6,1080x2340,8,4080,12.2,35900
https://www.gsmarena.com/google_pixel_4a_5g-10385.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a-5g.jpg,Google Pixel 4a 5G,"2020, November",168,Android 11,128,6.2,1080x2340,6,3885,12.2,21980
https://www.gsmarena.com/google_pixel_4a-10123.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a.jpg,Google Pixel 4a,"2020, August",143,Android 10,128,5.81,1080x2340,6,3140,12.2,21945
https://www.gsmarena.com/google_pixel_4_xl-9895.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg,Google Pixel 4 XL,"2019, October",193,Android 10,64,6.3,1440x3040,6,3700,12.2,41999
https://www.gsmarena.com/google_pixel_4-9896.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg,Google Pixel 4,"2019, October",162,Android 10,64,5.7,1080x2280,6,2800,12.2,20225
https://www.gsmarena.com/google_pixel_3a_xl-9690.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a-xl-.jpg,Google Pixel 3a XL,"2019, May",167,Android 9.0,64,6,1080x2160,4,3700,12.2,15999
https://www.gsmarena.com/google_pixel_3a-9408.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a.jpg,Google Pixel 3a,"2019, May",147,Android 9.0,64,5.6,1080x2220,4,3000,12.2,15999
https://www.gsmarena.com/google_pixel_3_xl-9257.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3xl-.jpg,Google Pixel 3 XL,"2018, October",184,Android 9.0,64,6.3,1440x2960,4,3430,12.2,23999
https://www.gsmarena.com/google_pixel_3-9256.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3-.jpg,Google Pixel 3,"2018, October",148,Android 9.0,64,5.5,1080x2160,4,2915,12.2,16999
https://www.gsmarena.com/google_pixel_2-8733.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-2.jpg,Google Pixel 2,"2017, October",143,Android 8.0,64,5,1080x1920,4,2700,12.2,14490
https://www.gsmarena.com/google_pixel_2_xl-8720.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl2-.jpg,Google Pixel 2 XL,"2017, October",175,Android 8.0,64,6,1440x2880,4,3520,12.2,19990
https://www.gsmarena.com/google_pixel_xl-8345.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl.jpg,Google Pixel XL,"2016, October",168,Android 7.1,32,5.5,1440x2560,4,3450,12.3,6999
https://www.gsmarena.com/google_pixel-8346.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel.jpg,Google Pixel,"2016, October",143,Android 7.1,32,5,1080x1920,4,2770,12.3,9999
https://www.gsmarena.com/google_pixel_c-7826.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-c--.jpg,Google Pixel C,"2015, December",517,Android 6.0.1,32,10.2,2560x1800,3,9240,8,30000
