Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,Camera,Price
https://www.gsmarena.com/infinix_smart_7_(india)-12131.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-7-india.jpg,Infinix Smart 7,"2023, February",207,Android 12,64,6.6,720x1612,4,6000,13,7499
https://www.gsmarena.com/infinix_smart_7-12116.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-7.jpg,Infinix Smart 7,"2023, February",188,Android 12,64,6.6,720x1612,4,5000,13,7499
https://www.gsmarena.com/infinix_zero_5g_2023-11976.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-5g-2023.jpg,Infinix Zero 5G 2023,"2022, December",201,Android 12,256,6.78,1080x2460,8,5000,50,16999
https://www.gsmarena.com/infinix_hot_20_play-11931.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20-play.jpg,Infinix Hot 20 Play,"2022, October",209.6,Android 12,64,6.82,720x1640,4,6000,13,8199
https://www.gsmarena.com/infinix_hot_20s-11930.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20s.jpg,Infinix Hot 20S,"2022, October",202,Android 12,128,6.78,1080x2460,8,5000,50,12999
https://www.gsmarena.com/infinix_hot_20-11929.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20-4g.jpg,Infinix Hot 20,"2022, October",198,Android 12,128,6.82,720x1640,4,5000,50,11499
https://www.gsmarena.com/infinix_note_12_(2023)-11912.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note12-pro-4g.jpg,Infinix Note 12 (2023),"2022, October",195,Android 12,128,6.7,1080x2400,8,5000,50,13790
https://www.gsmarena.com/infinix_zero_ultra-11922.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-ultra.jpg,Infinix Zero Ultra,"2022, October",213,Android 12,256,6.8,1080x2400,8,4500,200,32999
https://www.gsmarena.com/infinix_hot_20_5g-11923.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20-5g.jpg,Infinix Hot 20 5G,"2022, October",204,Android 12,64,6.58,1080x2408,4,5000,50,11499
https://www.gsmarena.com/infinix_hot_20i-11924.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20i.jpg,Infinix Hot 20i,"2022, September",195,Android 12,64,6.6,720x1612,6,5000,13,9690
https://www.gsmarena.com/infinix_zero_20-11913.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero20-.jpg,Infinix Zero 20,"2023, January",196,Android 12,128,6.7,1080x2400,8,4500,108,16999
https://www.gsmarena.com/infinix_note_12i_2022-11919.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note12i-2022.jpg,Infinix Note 12i 2022,"2022, September",188,Android 12,64,6.7,1080x2400,4,5000,50,9999
https://www.gsmarena.com/infinix_hot_12_pro-11822.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot12-pro.jpg,Infinix Hot 12 Pro,"2022, August",191,Android 12,128,6.6,720x1612,8,5000,50,11499
https://www.gsmarena.com/infinix_smart_6_plus_(india)-11742.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-6-plus.jpg,Infinix Smart 6 Plus,"2022, August",202,Android 12,640,6.82,720x1600,2,5000,8,8499
https://www.gsmarena.com/infinix_note_12_pro-11695.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note12-pro-4g.jpg,Infinix Note 12 Pro,"2022, July",192,Android 12,256,6.7,1080x2400,8,5000,108,17727
https://www.gsmarena.com/infinix_note_12_pro_5g-11663.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note12-pro-5g.jpg,Infinix Note 12 Pro 5G,"2022, July",188,Android 12,128,6.7,1080x2400,8,5000,108,17199
https://www.gsmarena.com/infinix_note_12_5g-11662.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note12-5g.jpg,Infinix Note 12 5G,"2022, July",186,Android 12,64,6.7,1080x2400,6,5000,50,14099
https://www.gsmarena.com/infinix_hot_11s_nfc-11605.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-11s-nfc.jpg,Infinix Hot 11s NFC,"2022, February",195,Android 11,64,6.78,1080x2460,4,5000,50,18400
https://www.gsmarena.com/infinix_hot_12_play-11547.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot12-play.jpg,Infinix Hot 12 Play,"2022, May",209,Android 11,64,6.82,720x1612,4,6000,13,8999
https://www.gsmarena.com/infinix_hot_12_play_nfc-11876.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot12-play.jpg,Infinix Hot 12 Play NFC,"2022, May",209,Android 11,64,6.82,720x1640,4,6000,13,9700
https://www.gsmarena.com/infinix_note_12_vip-11527.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note12-vip.jpg,Infinix Note 12 VIP,"2022, July ",199,Android 12,128,6.7,1080x2400,4,4500,108,23690
