Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,net2g,net3g,net4g,speed,year,status,dimensions,weight,build,sim,displaytype,displaysize,displayresolution,os,chipset,cpu,gpu,memoryslot,internalmemory,memoryother,cam1modules,cam1features,cam1video,cam2modules,cam2features,cam2video,wlan,bluetooth,gps,nfc,radio,usb,sensors,batdescription1,colors,models,price
https://www.gsmarena.com/infinix_hot_7_pro-9679.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-7-pro.jpg,Infinix Hot 7 Pro,"Released 2019, March","165g, 8mm thickness",Android 9.0,"32GB/64GB storage, microSDXC","6.2""",720x1520 pixels,2-6 GB RAM,4000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, March","Available. Released 2019, March",155 x 74.8 x 8 mm (6.10 x 2.94 x 0.31 in),165 g (5.82 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.2 inches, 95.9 cm(~82.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Android 9.0 (Pie),Mediatek MT6757T Helio P25 (16 nm) - 32+2 GBMediatek MT6762 Helio P22 (12 nm) - 32/64+3/6 GB,Octa-core (4x2.4 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)Octa-core 1.8 GHz Cortex-A53,Mali-T880MP2PowerVR GE8320,microSDXC (dedicated slot),"32GB 2GB RAM, 32GB 3GB RAM, 64GB 6GB RAM",eMMC 5.1,"13 MP, AF","Dual-LED flash, panorama, HDR",1080p@30fps,13 MP,LED flash,1080p@30fps,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","Midnight Black, Mocha Brown, Bordeaux Red, Aqua Blue","X625, X625B, X625, X625D",About 130 EUR
https://www.gsmarena.com/infinix_hot_7-9658.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot7.jpg,Infinix Hot 7,"Released 2019, January","166g, 8mm thickness",Android OS,"16GB/32GB/64GB storage, microSDXC","6.2""",720x1440 pixels,1-4 GB RAM,4000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1700 / 1900 / 2100,N/A,HSPA 42.2/5.76 Mbps,"2019, January","Available. Released 2019, January",157 x 75.7 x 8 mm (6.18 x 2.98 x 0.31 in),166 g (5.86 oz),"Glass front, plastic back, plastic frame","Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,"6.2 inches, 99.2 cm(~83.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~260 ppi density)",Android OS,Mediatek MT6580 (28 nm),Quad-core 1.3 GHz,microSDXC (dedicated slot),"16GB 1GB RAM, 32GB 2GB RAM, 64GB 4GB RAM",eMMC 5.1,"13 MP, AF","LED flash, panorama, HDR",1080p@30fps,8 MP,LED flash,1080p@30fps,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","Sandstone Black, Sapphire Blue, Blush Gold, Bordeaux Red","X624B, X624, X652A",About 100 EUR,
https://www.gsmarena.com/infinix_zero_6_pro-9657.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-6.jpg,Infinix Zero 6 Pro,"Released 2019, March","178g, 8mm thickness",Android 8.0,"128GB storage, microSDXC","6.18""",1080x2246 pixels,6 GB RAM,3650 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2019, March","Available. Released 2019, March",156.8 x Unknown x 8 mm,178 g (6.28 oz),"Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.18 inches, 96.2 cm","1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)",Corning Gorilla Glass 5,Android 8.0 (Oreo),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,microSDXC (dedicated slot),128GB 6GB RAM,eMMC 5.1,"12 MP, AF","Quad-LED dual-tone flash, HDR, panorama",1080p@30fps,"20 MP, f/2.0, (wide)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",GPS,No,FM radio,Yes,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3650 mAh, non-removable",Sapphire Cyan,X620,,
https://www.gsmarena.com/infinix_zero_6-9656.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-6.jpg,Infinix Zero 6,"Released 2019, March","178g, 8mm thickness",Android 8.0,"64GB storage, microSDXC","6.18""",1080x2246 pixels,6 GB RAM,3650 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2019, March","Available. Released 2019, March",156.8 x Unknown x 8 mm,178 g (6.28 oz),"Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.18 inches, 96.2 cm","1080 x 2246 pixels, 18.7:9 ratio (~403 ppi density)",Corning Gorilla Glass 5,Android 8.0 (Oreo),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,microSDXC (dedicated slot),64GB 6GB RAM,eMMC 5.1,"12 MP, AF","Quad-LED dual-tone flash, HDR, panorama",1080p@30fps,"20 MP, f/2.0, (wide)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",GPS,No,FM radio,Yes,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3650 mAh, non-removable","Black, Gold",X620B,,
https://www.gsmarena.com/infinix_smart_2_hd-9477.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart2-hd-n.jpg,Infinix Smart 2 HD,"Released 2018, October","165g, 8.2mm thickness",Android 8.1,"16GB storage, microSDXC","6.0""",720x1440 pixels,1 GB RAM,3500 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,HSPA 21.1/5.76 Mbps,"2018, October","Available. Released 2018, October",156.9 x 76.5 x 8.2 mm (6.18 x 3.01 x 0.32 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.0 inches, 92.9 cm(~77.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 8.1 (Oreo),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,microSDXC (dedicated slot),16GB 1GB RAM,"8 MP, AF","LED flash, panorama, HDR",1080p@30fps,8 MP,LED flash,1080p@30fps,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass, fingerprint (except Thailand, Colombia)","Li-Ion 3500 mAh, non-removable","Sandstone Black, Bordeaux Red, Serene Gold","X609, X609B",,,,,
https://www.gsmarena.com/infinix_hot_6x-9423.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot6x-n.jpg,Infinix Hot 6X,Released 2018,"168g, 8mm thickness",Android 8.1,"16GB/32GB storage, microSDXC","6.2""",720x1500 pixels,2/3 GB RAM,4000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 10, 20, 28, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2018,Available. Released 2018,157 x 75 x 8 mm (6.18 x 2.95 x 0.31 in),168 g (5.93 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.2 inches, 96.7 cm(~82.2% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Android 8.1 (Oreo),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 3GB RAM",eMMC 5.1,"13 MP, PDAF","Dual-LED flash, panorama, HDR",1080p@30fps,8 MP,LED flash,1080p@30fps,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","Midnight Black, Champagne Gold, Kent Blue, Bordeaux Red","X623, X623B",,
https://www.gsmarena.com/infinix_note_5_stylus-9416.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note5-stylus-n.jpg,Infinix Note 5 Stylus,Released 2018,"173g, 8.4mm thickness","Android 8.1, Android One","32GB/64GB storage, microSDXC","6.0""",1080x2160 pixels,4 GB RAM,4000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2018,Available. Released 2018,158 x 75 x 8.4 mm (6.22 x 2.95 x 0.33 in),173 g (6.10 oz),"Glass front, aluminum back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)",Stylus,IPS LCD,"6.0 inches, 92.4 cm(~78.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","Android 8.1 (Oreo), Android One",Mediatek MT6763T Helio P23 (16 nm),Octa-core 2.0 GHz Cortex-A53,Mali-G71 MP2,microSDXC (uses shared SIM slot),"32GB 4GB RAM, 64GB 4GB RAM",eMMC 5.1,"16 MP (wide), f/1.8, 1.12µm, PDAF","Dual-LED dual-tone flash, panorama, HDR","4K@30fps, 1080p@30fps (gyro-EIS), 720p@120fps","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,Wi-Fi 802.11 a/b/g/n,"4.2, A2DP, LE",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Bordeaux Red, Charcoal Blue, Champagne Gold",X605,
https://www.gsmarena.com/infinix_s3x-9420.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-s3x-n.jpg,Infinix S3X,Released 2018,"150g, 8mm thickness",Android 8.1,"32GB/64GB storage, microSDXC","6.2""",720x1500 pixels,3/4 GB RAM,4000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2018,Available. Released 2018,156.7 x 75.3 x 8 mm (6.17 x 2.96 x 0.31 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.2 inches, 96.7 cm(~82.0% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Android 8.1 (Oreo),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM",eMMC 5.1,"13 MP, PDAF","Dual-LED flash, panorama, HDR",1080p@30fps,"16 MP, 1.4µm",,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Ice Blue, Sandstone Black, Tradewinds Grey",X622,,,
https://www.gsmarena.com/infinix_hot_6-9426.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot6-n.jpg,Infinix Hot 6,Released 2018,"145g, 8mm thickness",Android 8.1 - 2 GB model8.1 O…,"16GB storage, microSDXC","6.0""",720x1440 pixels,1/2 GB RAM,4000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100,HSPA 42.2/5.76 Mbps,2018,Available. Released 2018,157.7 x 75.4 x 8 mm (6.21 x 2.97 x 0.31 in),145 g (5.11 oz),"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,"6.0 inches, 92.9 cm(~78.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 8.1 (Oreo) - 2 GB modelAndroid 8.1 Oreo (Go edition) - 1 GB model,Quad-core 1.3 GHz,microSDXC (dedicated slot),"16GB 1GB RAM, 16GB 2GB RAM","13 MP, f/2.0, AF","Dual-LED flash, panorama, HDR",1080p@30fps,8 MP,LED flash,1080p@30fps,Wi-Fi 802.11 b/g/n,"4.0, A2DP, LE",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable","Bordeaux Red, Magic Gold, Sandstone Black, City Blue","X606D, X606C, X606, X606B",,,,,,
https://www.gsmarena.com/infinix_note_5-9417.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note5-n.jpg,Infinix Note 5,Released 2018,"173g, 8.4mm thickness","Android 8.1, Android One","32GB/64GB storage, microSDXC","6.0""",1080x2160 pixels,3/4 GB RAM,4500 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 40, 41","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2018,Available. Released 2018,158 x 75 x 8.4 mm (6.22 x 2.95 x 0.33 in),173 g (6.10 oz),"Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.0 inches, 92.9 cm(~78.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Android 8.1 (Oreo), Android One",Mediatek MT6763 Helio P23 (16 nm),Octa-core 2.0 GHz Cortex-A53,Mali-G71 MP2,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 4GB RAM",eMMC 5.1,"12 MP, f/2.0, 1/2.8"", 1.25µm, PDAF","Dual-LED dual-tone flash, panorama, HDR",1080p@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",LED flash,1080p@30fps,Wi-Fi 802.11 a/b/g/n,"4.2, A2DP, LE",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Berlin Gray, Ice Blue, Milan Black","X604, X604B",About 90 EUR,
