Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,net2g,net3g,net4g,speed,year,status,dimensions,weight,build,sim,displaytype,displaysize,displayresolution,os,chipset,cpu,gpu,memoryslot,internalmemory,memoryother,cam1modules,cam1features,cam1video,cam2modules,cam2features,cam2video,wlan,bluetooth,gps,nfc,radio,usb,sensors,batdescription1,colors,models,price,,
https://www.gsmarena.com/infinix_smart_7_(india)-12131.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-7-india.jpg,Infinix Smart 7 (India),"Released 2023, February 27","207g, 9.4mm thickness","Android 12, XOS 12","64GB storage, microSDXC","6.6""",720x1612 pixels,4 GB RAM,6000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE","2023, February 22","Available. Released 2023, February 27",164.2 x 75.6 x 9.4 mm (6.46 x 2.98 x 0.37 in),207 g (7.30 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 500 nits","6.6 inches, 104.6 cm(~84.3% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)","Android 12, XOS 12",Unisoc SC9863A1 (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (dedicated slot),64GB 4GB RAM,eMMC 5.1,"13 MP, AF","Dual-LED flash, HDR, panorama",1080p@30fps,5 MP,LED flash,720p@30fps,Wi-Fi 802.11 b/g/n,"4.2, A2DP",GPS,No,Unspecified,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 6000 mAh, non-removable","Azure Blue, Emerald Green, Night Black",X6517,About 80 EUR,,
https://www.gsmarena.com/infinix_smart_7-12116.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-7.jpg,Infinix Smart 7,"Released 2023, February 22","188g, 8.7mm thickness",Android 12,"64GB storage, microSDXC","6.6""",720x1612 pixels,4 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE","2023, February 09","Available. Released 2023, February 22",163.8 x 75.6 x 8.7 mm (6.45 x 2.98 x 0.34 in),188 g (6.63 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 500 nits","6.6 inches, 104.6 cm(~84.5% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",Android 12,microSDXC (dedicated slot),64GB 4GB RAM,eMMC 5.1,"13 MP, AF","Dual-LED flash, HDR, panorama",1080p@30fps,5 MP,LED flash,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable","Polar Black, Coastal Green, Iceland White, Peacock Blue",X6515,About 90 EUR,,,,,
https://www.gsmarena.com/infinix_zero_5g_2023-11976.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-5g-2023.jpg,Infinix Zero 5G 2023,"Released 2022, December 01","201g, 8.9mm thickness","Android 12, XOS 12","256GB storage, microSDXC","6.78""",1080x2460 pixels,8 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 71, 77, 78 SA/NSA/Sub6","HSPA 42.2/11.5 Mbps, LTE Cat7 300/75 Mbps","2022, November 08","Available. Released 2022, December 01",168.7 x 76.5 x 8.9 mm (6.64 x 3.01 x 0.35 in),201 g (7.09 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 120Hz, 500 nits (peak)","6.78 inches, 109.2 cm(~84.6% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),"Android 12, XOS 12",Mediatek MT6877V Dimensity 1080Mediatek Dimensity 920 (6 nm) - X6815D,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55)Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - X6815D,Mali-G68 MC4,microSDXC (dedicated slot),256GB 8GB RAM,"50 MP, f/1.6, (wide), PDAF","Quad-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps","16 MP, f/2.0, (wide), 1/3"", 1.0µm",Dual-LED flash,1080p@30fps,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,GPS,No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Pearly White, Coral Orange, Submarine Black",X6815C,About 250 EUR,
https://www.gsmarena.com/infinix_hot_20_play-11931.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20-play.jpg,Infinix Hot 20 Play,"Released 2022, October 13","209.6g, 8.9mm thickness","Android 12, XOS 10.6","64GB/128GB storage, microSDXC","6.82""",720x1640 pixels,4 GB RAM,6000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28A, 28, 38, 40, 41","HSPA, LTE","2022, October 13","Available. Released 2022, October 13",171 x 78 x 8.9 mm (6.73 x 3.07 x 0.35 in),209.6 g (7.41 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 90Hz, 500 nits (peak)","6.82 inches, 110.5 cm(~82.8% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),"Android 12, XOS 10.6",Mediatek MT6765 Helio G37 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, AF",Quad-LED flash,1080p@30fps,8 MP,Dual-LED flash,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,GPS,No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable","Racing Black, Luna Blue, Aurora Green, Fantasy Purple",X6825,About 130 EUR,,,
https://www.gsmarena.com/infinix_hot_20s-11930.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20s.jpg,Infinix Hot 20S,"Released 2022, October 13","202g, 8.5mm thickness","Android 12, XOS 12","128GB storage, microSDXC","6.78""",1080x2460 pixels,8 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28A, 28, 38, 40, 41","HSPA, LTE","2022, October 13","Available. Released 2022, October 13",168.7 x 76.8 x 8.5 mm (6.64 x 3.02 x 0.33 in),202 g (7.13 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 120Hz, 500 nits","6.78 inches, 109.2 cm(~84.3% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),"Android 12, XOS 12",Mediatek MT6781 Helio G96 (12 nm),Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),128GB 8GB RAM,"50 MP, f/1.6, (wide), PDAF","Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",8 MP,Dual-LED flash,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,GPS,No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Sonic Black, Tempo Blue, Fantasy Purple, Light-rider White (Neon Edition)",X6827,,,,
https://www.gsmarena.com/infinix_hot_20-11929.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20-4g.jpg,Infinix Hot 20,"Released 2022, October 13","198g, 8.3mm thickness","Android 12, XOS 12","128GB storage, microSDXC","6.82""",720x1640 pixels,4-8 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28A, 28, 38, 40, 41","HSPA, LTE","2022, October 13","Available. Released 2022, October 13",170.7 x 77.4 x 8.3 mm (6.72 x 3.05 x 0.33 in),198 g (6.98 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 90Hz","6.82 inches, 110.5 cm(~83.6% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),"Android 12, XOS 12",Mediatek MT6769Z Helio G85 (12nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.6, (wide), PDAF","Quad-LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",Dual-LED flash,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",GPS,Yes (except 128/4 option),FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Sonic Black, Legend White, Tempo Blue, Fantasy Purple","X6826, X6826B, X6826C",About 190 EUR,,,
https://www.gsmarena.com/infinix_note_12_(2023)-11912.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note12-pro-4g.jpg,Infinix Note 12 (2023),"Released 2022, October 06","195g, 7.8mm thickness","Android 12, XOS 10.6","128GB/256GB storage, microSDXC","6.7""",1080x2400 pixels,8 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE","2022, October 06","Available. Released 2022, October 06",164.4 x 76.5 x 7.8 mm (6.47 x 3.01 x 0.31 in),195 g (6.88 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",AMOLED,"6.7 inches, 108.4 cm(~86.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 12, XOS 10.6",Mediatek MT8781 Helio G99 (6nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.6, (wide), PDAF","Quad-LED flash, HDR, panorama",1440p@30fps,"16 MP, (wide)",1440p@30fps,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,GPS,Yes,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Volcanic Grey, Tuscany Blue, Alpine White",X676C,About 220 EUR,,,
https://www.gsmarena.com/infinix_zero_ultra-11922.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-ultra.jpg,Infinix Zero Ultra,"Released 2022, October 25","213g, 8.8mm thickness","Android 12, XOS 12","256GB storage, no card slot","6.8""",1080x2400 pixels,8 GB RAM,4500 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66","1, 2, 3, 5, 20, 28, 38, 40, 41, 71, 77, 78, 79 SA/NSA/Sub6","HSPA 42.2/11.5 Mbps, LTE-A Cat7 300/75 Mbps, 5G","2022, October 05","Available. Released 2022, October 25",165.5 x 74.5 x 8.8 mm - Coslight Silver165.5 x 75.1 x 9.2 mm - Genesis Noir,213 g (7.51 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED, 120Hz, 900 nits (HBM)","6.8 inches, 111.6 cm(~90.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",Corning Gorilla Glass 3,"Android 12, XOS 12",Mediatek Dimensity 920 (6 nm),Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,No,256GB 8GB RAM,"200 MP, f/2.0, (wide), 1/1.22"", 0.64µm, Dual Pixel PDAF, OIS","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps","32 MP, f/2.0, (wide)",Dual-LED flash,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,GPS,Yes (market/region dependent),FM radio,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Coslight Silver, Genesis Noir",X6820,About 500 EUR,,
https://www.gsmarena.com/infinix_hot_20_5g-11923.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20-5g.jpg,Infinix Hot 20 5G,"Released 2022, October 06","204g, 8.9mm thickness","Android 12, XOS 10.6","64GB/128GB storage, microSDXC","6.58""",1080x2408 pixels,4 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66","1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA","HSPA, LTE-A, 5G","2022, October 06","Available. Released 2022, October 06",166.3 x 76.5 x 8.9 mm (6.55 x 3.01 x 0.35 in),204 g (7.20 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 120Hz, 500 nits","6.58 inches, 104.3 cm(~82.0% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","Android 12, XOS 10.6",Mediatek MT6833P Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.6, (wide), 1/2.8"", 0.64µm, PDAF","Dual-LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",LED flash,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",GPS,Yes (except 64/4 option),FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Racing Black, Space Blue, Blaster Green","X666, X666B",About 240 EUR,,
https://www.gsmarena.com/infinix_hot_20i-11924.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot20i.jpg,Infinix Hot 20i,"Released 2022, September 28","195g, 8.8mm thickness","Android 12 or Android 12, XOS 10.6","64GB/128GB storage, microSDXC","6.6""",720x1612 pixels,2-6 GB RAM,5000 mAh Li-Ion,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"1, 3, 7, 8, 20","HSPA, LTE","2022, September 28","Available. Released 2022, September 28",164.8 x 76.4 x 8.8 mm (6.49 x 3.01 x 0.35 in),195 g (6.88 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 500 nits (peak)","6.6 inches, 104.6 cm(~83.1% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)","Android 12 or Android 12 (Go edition), XOS 10.6",Mediatek MT6762G Helio G25 (12 nm) / Mediatek MT6761 Helio A22 (12 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) / Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),"64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","13 MP, f/1.8, (wide), AF",Dual-LED flash,1080p@30fps,8 MP,LED flash,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 5000 mAh, non-removable","Wilderness Black, Luna Blue, Energy Green, Sunset Gold","X665C, X665E",About 120 EUR,,,
