Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,net2g,net3g,net4g,speed,year,status,dimensions,weight,build,sim,displaytype,displaysize,displayresolution,os,chipset,cpu,gpu,memoryslot,internalmemory,cam1modules,cam1features,cam1video,cam2modules,cam2video,wlan,bluetooth,gps,nfc,radio,usb,sensors,batdescription1,colors,price,,,,,,,,
https://www.gsmarena.com/vivo_y33-11330.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y53s-4g.jpg,vivo Y33,"Released 2021, October 04","191g, 8.4mm thickness","Android 11, Funtouch 11.1","128GB storage, microSDXC","6.58""",1080x2408 pixels,4 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM),HSDPA 850 / 900 / 1700(AWS) / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 38, 40, 41, 66","HSPA, LTE-A","2021, October 04","Available. Released 2021, October 04",164 x 75.5 x 8.4 mm (6.46 x 2.97 x 0.33 in),191 g (6.74 oz),"Glass front, plastic frame, plastic back","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.58 inches, 104.3 cm(~84.2% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","Android 11, Funtouch 11.1",Mediatek MT6769V/CU Helio G80 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC,128GB 4GB RAM,"48 MP, f/1.8, 26mm (wide), PDAF","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.0, (wide)",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Black, Light Blue",About 270 EUR,,,,,,,,
https://www.gsmarena.com/vivo_y75_5g-11338.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y55-5g.jpg,vivo Y75 5G,"Released 2022, January 27","187g, 8.3mm thickness","Android 11, Funtouch 12","128GB storage, microSDXC","6.58""",1080x2408 pixels,8 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41",78 SA/NSA,"HSPA, LTE-A, 5G","2022, January 27","Available. Released 2022, January 27",164 x 75.9 x 8.3 mm (6.46 x 2.99 x 0.33 in),187 g (6.60 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.58 inches, 104.3 cm(~83.8% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","Android 11, Funtouch 12",Mediatek MT6833 Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),128GB 8GB RAM,"50 MP, f/1.8, 26mm (wide), PDAF","Dual-LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.0, (wide)",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,FM radio,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Glowing Galaxy, Starlight Black",V2142,About 260 EUR,,,,,,
https://www.gsmarena.com/vivo_y55_5g-11324.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y55-5g.jpg,vivo Y55 5G,"Released 2022, January 17","187g, 8.3mm thickness","Android 11, Funtouch 12","128GB storage, microSDXC","6.58""",1080x2408 pixels,4/6 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32, 38, 39, 40, 41","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 78 SA/NSA","HSPA, LTE-A, 5G","2022, January 17","Available. Released 2022, January 17",164 x 75.9 x 8.3 mm (6.46 x 2.99 x 0.33 in),187 g (6.60 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.58 inches, 104.3 cm(~83.8% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","Android 11, Funtouch 12",Mediatek MT6833 Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, 26mm (wide), PDAF","Dual-LED flash, HDR, panorama","1080p@30fps, gyro-EIS","8 MP, f/1.8, (wide)",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,FM radio,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Black, Blue","V2127, V2154",About 250 EUR,,,,,,
https://www.gsmarena.com/vivo_iqoo_9_(china)-11310.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-9.jpg,vivo iQOO 9 (China),"Released 2022, January 12","206g, 8.4mm thickness","Android 12, Origin OS Ocean","128GB/256GB/512GB storage, no card slot","6.78""",1080x2400 pixels,8/12 GB RAM,4700 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","1, 3, 5, 8, 28, 41, 77, 78 SA/NSA","HSPA, LTE-A, 5G","2022, January 05","Available. Released 2022, January 12",164.5 x 76.7 x 8.4 mm (6.48 x 3.02 x 0.33 in),206 g (7.27 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED, 120Hz, HDR10, 1500 nits (peak)","6.78 inches, 111.0 cm(~88.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Android 12, Origin OS Ocean",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 3.1,"50 MP, f/1.8, (wide), 1/1.57"", 1.0µm, PDAF, OIS","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","16 MP, f/2.5, (wide)",HDR,"1080p@30fps, gyro-EIS",24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4700 mAh, non-removable","White (BMW M branding), Orange, Black",V2171A,About 560 EUR,,,,
https://www.gsmarena.com/vivo_v23_pro-11286.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-v23-pro.jpg,vivo V23 Pro,"Released 2022, January 13","171g, 7.4mm thickness","Android 12, Funtouch 12","128GB/256GB storage, no card slot","6.56""",1080x2376 pixels,8/12 GB RAM,4300 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","1, 3, 5, 8, 41, 77, 78 SA/NSA","HSPA, LTE-A, 5G","2022, January 05","Available. Released 2022, January 13",159.5 x 73.3 x 7.4 mm (6.28 x 2.89 x 0.29 in),171 g (6.03 oz),"Glass front (Schott Xensation α), glass back","Dual SIM (Nano-SIM, dual stand-by)","AMOLED, 90Hz, HDR10+","6.56 inches, 104.6 cm(~89.5% screen-to-body ratio)",1080 x 2376 pixels (~398 ppi density),Schott Xensation α glass,"Android 12, Funtouch 12",Mediatek MT6893 Dimensity 1200 (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,No,"128GB 8GB RAM, 256GB 12GB RAM","108 MP, f/1.9, 26mm (wide), 1/1.52"", 0.7µm PDAF","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","50 MP, f/2.0, (wide), AF","Dual-LED dual-tone flash, HDR","4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS, NavIC",No,No,"USB Type-C, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Color changing back panel when exposed to sunlight,"Li-Po 4300 mAh, non-removable","Sunshine Gold, Stardust Black",V2132,1.22 W/kg (head)     0.63 W/kg (body),,"AnTuTu: 635060 (v8), 716766 (v9)",
https://www.gsmarena.com/vivo_v23_5g-11308.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-v23-5g.jpg,vivo V23 5G,"Released 2022, January 19","179g or 181g, 7.4mm thickness","Android 12, Funtouch 12","128GB/256GB storage, no card slot","6.44""",1080x2400 pixels,8/12 GB RAM,4200 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 8, 18, 19, 26, 38, 39, 40, 41","1, 3, 38, 40, 41, 77, 78 SA/NSA","HSPA, LTE-A, 5G","2022, January 05","Available. Released 2022, January 19",157.2 x 72.4 x 7.4 or 7.6 mm,179 g or 181 g (6.31 oz),"Glass front (Schott Xensation Up), glass back","Dual SIM (Nano-SIM, dual stand-by)","AMOLED, 90Hz, HDR10+","6.44 inches, 100.1 cm(~88.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Schott Xensation Up,"Android 12, Funtouch 12",Mediatek Dimensity 920 (6 nm),Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,No,"128GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.9, 26mm (wide), PDAF","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","50 MP, f/2.0, (wide), AF","Dual-LED dual-tone flash, HDR","4K@30fps, 1080p@30fps",24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi 6 (market dependent), dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS, NavIC",Yes (market/region dependent),No,"USB Type-C, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Color changing back panel when exposed to sunlight,"Li-Po 4200 mAh, non-removable","Sunshine Gold, Stardust Black",V2130,1.08 W/kg (head)     0.72 W/kg (body),,"AnTuTu: 406498 (v8), 476058 (v9)"
https://www.gsmarena.com/vivo_y33t-11313.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y33t.jpg,vivo Y33t,"Released 2022, January 11","182g, 8mm thickness","Android 11, Funtouch 12","128GB storage, microSDXC","6.58""",1080x2408 pixels,8 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE","2022, January 11","Available. Released 2022, January 11",164.3 x 76.1 x 8 mm (6.47 x 3.00 x 0.31 in),182 g (6.42 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.58 inches, 104.3 cm(~83.4% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","Android 11, Funtouch 12",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC (dedicated slot),128GB 8GB RAM,"50 MP, f/1.8, (wide), PDAF",LED flash,1080p@30fps,"16 MP, f/2.0, (wide)",HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Mirror Black, Midday Dream",,,,,,,,
https://www.gsmarena.com/vivo_y21t_(india)-11301.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y21s.jpg,vivo Y21t (India),"Released 2022, January 03","182g, 8mm thickness","Android 11, Funtouch 12","128GB storage, microSDXC","6.58""",1080x2408 pixels,4 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE","2022, January 03","Available. Released 2022, January 03",164.3 x 76.1 x 8 mm (6.47 x 3.00 x 0.31 in),182 g (6.42 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD, 90Hz","6.58 inches, 104.3 cm(~83.4% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","Android 11, Funtouch 12",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC (dedicated slot),128GB 4GB RAM,"50 MP, f/1.8, (wide), PDAF",LED flash,1080p@30fps,"8 MP, f/1.8, (wide)",HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Midnight Blue, Pearl White",,,,,,,,
https://www.gsmarena.com/vivo_y21a-11329.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y21-.jpg,vivo Y21a,"Released 2022, February 14","182g, 8mm thickness","Android 11, Funtouch 11.1","64GB storage, microSDXC","6.51""",720x1600 pixels,4 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE","2022, January 22","Available. Released 2022, February 14",164.3 x 76.1 x 8 mm (6.47 x 3.00 x 0.31 in),182 g (6.42 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.51 inches, 102.3 cm(~81.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 11, Funtouch 11.1",Mediatek MT6762 Helio P22 (12 nm)Mediatek MT6765 Helio P35 (12nm) - Egypt,Octa-core 2.0 GHz Cortex-A53Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53) - Egypt,PowerVR GE8320,microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, f/2.2, (wide), PDAF",LED flash,1080p@30fps,"8 MP, f/1.8, (wide)",HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Midnight Blue, Diamond Glow",,,,,,,,
https://www.gsmarena.com/vivo_y21e-11325.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y21-.jpg,vivo Y21e,"Released 2022, January 14","182g, 8mm thickness","Android 11, Funtouch 12","64GB storage, microSDXC","6.51""",720x1600 pixels,3 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 40","HSPA, LTE","2022, January 14","Available. Released 2022, January 14",164.3 x 76.1 x 8 mm (6.47 x 3.00 x 0.31 in),182 g (6.42 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.51 inches, 102.3 cm(~81.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 11, Funtouch 12",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC (dedicated slot),64GB 3GB RAM,UFS 2.1,"13 MP, f/2.2, (wide), PDAF",LED flash,1080p@30fps,"8 MP, f/1.8, (wide)",HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Midnight Blue, Diamond Glow",V2140,About 150 EUR,,,,,
